id	filename	md5	size	state
0240ae8f-9354-4123-b791-5333317ae9f0	0240ae8f-9354-4123-b791-5333317ae9f0/42766493-7dff-4c09-821a-bd5952d95adc.rna_seq.augmented_star_gene_counts.tsv	fe3388f46107ee6f01e60931f21d5af4	4230182	validated
047dc5b6-c15e-4dad-b753-de55ca6e171c	047dc5b6-c15e-4dad-b753-de55ca6e171c/f437e625-9c4f-4da9-bef9-a490ae120908.rna_seq.augmented_star_gene_counts.tsv	d3a88c61b42cd563b4f17a25d9f450a8	4218826	validated
048da4d7-cab0-49c5-8bc9-78b1bf0b365b	048da4d7-cab0-49c5-8bc9-78b1bf0b365b/cbc6b1c2-5536-45ba-9307-7358ada07264.rna_seq.augmented_star_gene_counts.tsv	a0a1d62efb36cb33f3e23da80d022f42	4220680	validated
05e5accb-e761-4534-a81e-bf0354f7810c	05e5accb-e761-4534-a81e-bf0354f7810c/e04b4f83-7f24-4206-acc5-55ee2317b26f.rna_seq.augmented_star_gene_counts.tsv	66199a6093e5dba6adadbee038e1a5ae	4237660	validated
06ea34ab-c935-429d-a2e8-f264a103138c	06ea34ab-c935-429d-a2e8-f264a103138c/0676d3bd-b657-4b69-a77e-9fb257f00a31.rna_seq.augmented_star_gene_counts.tsv	caddf4881e8514ea7ab69718184e88c9	4223349	validated
06fa3d61-9460-4edf-8711-370536d645bc	06fa3d61-9460-4edf-8711-370536d645bc/40a8ea5b-887a-42aa-857f-d8871fa14746.rna_seq.augmented_star_gene_counts.tsv	dd24f6e7259792b55a870f0388f33118	4236735	validated
0787f4dc-16a6-4f22-9c32-ce6e0bf7b38b	0787f4dc-16a6-4f22-9c32-ce6e0bf7b38b/fefcb008-c122-44b6-be74-4a4e6986cc91.rna_seq.augmented_star_gene_counts.tsv	0579d8b838289b4ff0dbd13b31d9f152	4220139	validated
09549fc0-c1a5-45a8-b053-dacfc261f40c	09549fc0-c1a5-45a8-b053-dacfc261f40c/d0e13201-cf7e-4a74-bf58-5ab5d94cca07.rna_seq.augmented_star_gene_counts.tsv	8da5b271b07fd8fdaf5b0333e323a140	4231098	validated
0be0d83b-9baa-4898-967c-81c466e8fb78	0be0d83b-9baa-4898-967c-81c466e8fb78/edd5bf74-7675-4c67-9863-2369b2f72bfa.rna_seq.augmented_star_gene_counts.tsv	b8d93cf8619acbe30f6aa4ee68f8da48	4232022	validated
0c1581e7-b516-4eae-83d6-e6b12d778be9	0c1581e7-b516-4eae-83d6-e6b12d778be9/b210fae0-10e1-47a8-8623-a9dc4afc0e8c.rna_seq.augmented_star_gene_counts.tsv	0dc49acff80ca34551d7377a0807d353	4234188	validated
