name,cor,p.value,components
AHR,-0.282618950013948,0.0286752528542473,kaempferol
BAX,0.266812909618728,0.0393250343372412,aloeemodin
BAX,0.266812909618728,0.0393250343372412,cryptotanshinone
BAX,0.266812909618728,0.0393250343372412,kaempferol
BAX,0.266812909618728,0.0393250343372412,rhein
BAX,0.266812909618728,0.0393250343372412,aucubin
BAX,0.266812909618728,0.0393250343372412,tanshinone i
BAX,0.266812909618728,0.0393250343372412,beta-sitosterol
BAX,0.266812909618728,0.0393250343372412,protocatechuic acid
BCL2L1,-0.256340959762148,0.0480405925995348,"15,16-dihydrotanshinone i"
BCL2L1,-0.256340959762148,0.0480405925995348,Sal A
BCL2L2,-0.270528154745202,0.0365660334794099,Sal A
CCR3,0.295928128396129,0.0216923775019763,Rosemary acid
CCR3,0.295928128396129,0.0216923775019763,labiatenicacid
CST6,-0.272051266667594,0.0354823398920438,tanshinone i
CTRC,0.325330433801259,0.0111999416254103,tanshinone i
CTRL,0.40142179508551,0.00147864471067583,tanshinone i
ELANE,0.309533353204189,0.0161005923817602,tanshinone i
ERCC1,0.260476599232385,0.0444265357056489,tanshinone i
FUT1,-0.256435872104649,0.0479550333679784,carnosol
GRB7,-0.366139035184751,0.00401380431308961,tanshinone i
GSTM1,0.263914268807054,0.0415952275693002,kaempferol
HGF,0.359769001335894,0.00475259268329224,tanshinone i
IFNG,0.281090878580423,0.0295859313762943,rutin
ITGA6,-0.364736305418862,0.00416714794206608,tanshinone i
ITGAM,0.337614516718499,0.00833748571416804,tanshinone i
KLK6,-0.358504658017645,0.00491271729151309,tanshinone i
MAOA,-0.307258329778185,0.0169390945593227,GLY
MAOA,-0.307258329778185,0.0169390945593227,isoferulic acid
MAOA,-0.307258329778185,0.0169390945593227,DTY
MAOA,-0.307258329778185,0.0169390945593227,ferulic acid
MAOA,-0.307258329778185,0.0169390945593227,caffeic acid
MAOA,-0.307258329778185,0.0169390945593227,PHA
MMP2,0.305720648260012,0.0175267352289856,protocatechuic acid
MMP2,0.305720648260012,0.0175267352289856,dihydrotanshinone i
MMP9,0.325553374832609,0.0111412448746868,dimethyllithospermate
MMP9,0.325553374832609,0.0111412448746868,cryptotanshinone
MPO,0.288483706225202,0.0253952906656892,rutin
MYBL2,0.27965115791756,0.0304659950778618,tanshinone i
NQO1,-0.261238659338403,0.0437856073959048,oleanolic acid
NR3C2,-0.268956585281137,0.0377128462900999,7-oxoroyleanone2
NR3C2,-0.268956585281137,0.0377128462900999,Poriferasterol
NR3C2,-0.268956585281137,0.0377128462900999,(R)-p-Menth-1-en-4-ol
NR3C2,-0.268956585281137,0.0377128462900999,przewalskin a
NR3C2,-0.268956585281137,0.0377128462900999,beta-sitosterol
NR3C2,-0.268956585281137,0.0377128462900999,przewalskin b
PFAS,0.385680840202512,0.00233989026854294,GLY
PIK3CD,0.32773768033379,0.0105800842838294,salvianolic acid a
PIK3CD,0.32773768033379,0.0105800842838294,salvianolic acid a
PIK3CG,0.345160337174747,0.0069150016768962,salvianolic acid a
PIK3CG,0.345160337174747,0.0069150016768962,salvianolic acid a
POLD1,0.347646018529389,0.00649538320534905,aloeemodin
POLD1,0.347646018529389,0.00649538320534905,palmitic acid
POLD1,0.347646018529389,0.00649538320534905,kaempferol
PPARG,-0.396094296020941,0.00173145396767204,cyanidol
