id	filename	md5	size	state
00ae9ab8-6eaa-4085-af72-26f96df97fa3	00ae9ab8-6eaa-4085-af72-26f96df97fa3/90c9f8cd-4c8c-4f07-af2f-e17db69bd561.rna_seq.augmented_star_gene_counts.tsv	41a52979fa30f39cb9c2c26cb4175c4c	4220086	validated
00cdff29-697a-4a17-ba67-cf55c006b827	00cdff29-697a-4a17-ba67-cf55c006b827/0f35c851-1cb8-4f75-a661-eae9111b7362.rna_seq.augmented_star_gene_counts.tsv	aac5e0b7ed85c89f985d46bc3386bd22	4241366	validated
01947597-c83a-4c5d-8a45-f1fe27992ad5	01947597-c83a-4c5d-8a45-f1fe27992ad5/8ee55a63-4e87-4c00-8012-4c87efdcb7ed.rna_seq.augmented_star_gene_counts.tsv	7fe0583b61650a025fd64ae4e68e0124	4230861	validated
0194feb1-d8be-45e5-9b95-0596090e9ecc	0194feb1-d8be-45e5-9b95-0596090e9ecc/5c3c4b79-0682-4f19-96aa-071316a354d4.rna_seq.augmented_star_gene_counts.tsv	d9078bff8c3381e55cca0400f99979a1	4202137	validated
019bfec7-ec6c-4cd6-808b-3e6e058e55f9	019bfec7-ec6c-4cd6-808b-3e6e058e55f9/05167d53-0b47-4131-bfa4-450b236b9fd5.rna_seq.augmented_star_gene_counts.tsv	b5c0418ce0a5fb62703befae3189c6bb	4195857	validated
01d414a2-2b77-41e8-8622-98b277f5dc85	01d414a2-2b77-41e8-8622-98b277f5dc85/8a25dfb0-edd0-4a44-9a6b-8f3f761b940c.rna_seq.augmented_star_gene_counts.tsv	e96d9130aea5c38d515cdb3fd5bfd72d	4234391	validated
02033780-6bc1-407d-bd0f-45b6d74ae87b	02033780-6bc1-407d-bd0f-45b6d74ae87b/c174e0ae-4b0a-4170-9122-b7da8ec61eac.rna_seq.augmented_star_gene_counts.tsv	661093bfb9e2d801b33c9ccd4a2163a9	4225403	validated
025bf99d-1e89-43f3-b0b7-8dfe5d43e192	025bf99d-1e89-43f3-b0b7-8dfe5d43e192/690d4959-780e-4783-8a90-268159abefb1.rna_seq.augmented_star_gene_counts.tsv	de2df44cfa886b92fde2af6150562de1	4233560	validated
026818a6-8180-4d9c-9357-b88a832b374e	026818a6-8180-4d9c-9357-b88a832b374e/d4d783e3-e8df-4cbd-9f8a-53120abf58a1.rna_seq.augmented_star_gene_counts.tsv	99d83193b0bc66f217ae1d1686611665	4211909	validated
028cf419-71ca-4bcd-9f45-3c1c394f1f17	028cf419-71ca-4bcd-9f45-3c1c394f1f17/2d85d8b8-a590-4a3a-96f2-3f44b5a77032.rna_seq.augmented_star_gene_counts.tsv	04b50a4a8c824759dc49a1ccd02f483c	4242590	validated
03277451-4bc3-4c62-947a-0951276ee8e9	03277451-4bc3-4c62-947a-0951276ee8e9/90242448-2567-4d5b-b015-43c0ce31f0ad.rna_seq.augmented_star_gene_counts.tsv	781c2c2e81de657da05f366c61b82197	4228312	validated
0361fa03-68ca-498f-9de5-0efa5cbf8c70	0361fa03-68ca-498f-9de5-0efa5cbf8c70/149505ae-e005-4aee-b144-5d697b52677e.rna_seq.augmented_star_gene_counts.tsv	87e9a2fc7df59f362c44d3db8e0ec987	4225804	validated
03dfd378-4df6-48b6-a160-60d6d9f11533	03dfd378-4df6-48b6-a160-60d6d9f11533/6c87ca2e-fabe-4016-994d-83e8a8b70018.rna_seq.augmented_star_gene_counts.tsv	5978e3eab3dba1bf922ffdebb8883585	4204339	validated
03fc84ec-ac67-4fdd-a7ce-f677cf8b82e6	03fc84ec-ac67-4fdd-a7ce-f677cf8b82e6/5b4ff52b-e660-4640-98e2-b7ab76ca4474.rna_seq.augmented_star_gene_counts.tsv	91f82a0f6dad2d3b524b8dd8a4e9d255	4237700	validated
